day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,RO,Romania,46,25,0,0,0
2020/01/23,RO,Romania,46,25,0,0,0
2020/01/24,RO,Romania,46,25,0,0,0
2020/01/25,RO,Romania,46,25,0,0,0
2020/01/26,RO,Romania,46,25,0,0,0
2020/01/27,RO,Romania,46,25,0,0,0
2020/01/28,RO,Romania,46,25,0,0,0
2020/01/29,RO,Romania,46,25,0,0,0
2020/01/30,RO,Romania,46,25,0,0,0
2020/01/31,RO,Romania,46,25,0,0,0
2020/02/01,RO,Romania,46,25,0,0,0
2020/02/02,RO,Romania,46,25,0,0,0
2020/02/03,RO,Romania,46,25,0,0,0
2020/02/04,RO,Romania,46,25,0,0,0
2020/02/05,RO,Romania,46,25,0,0,0
2020/02/06,RO,Romania,46,25,0,0,0
2020/02/07,RO,Romania,46,25,0,0,0
2020/02/08,RO,Romania,46,25,0,0,0
2020/02/09,RO,Romania,46,25,0,0,0
2020/02/10,RO,Romania,46,25,0,0,0
2020/02/11,RO,Romania,46,25,0,0,0
2020/02/12,RO,Romania,46,25,0,0,0
2020/02/13,RO,Romania,46,25,0,0,0
2020/02/14,RO,Romania,46,25,0,0,0
2020/02/15,RO,Romania,46,25,0,0,0
2020/02/16,RO,Romania,46,25,0,0,0
2020/02/17,RO,Romania,46,25,0,0,0
2020/02/18,RO,Romania,46,25,0,0,0
2020/02/19,RO,Romania,46,25,0,0,0
2020/02/20,RO,Romania,46,25,0,0,0
2020/02/21,RO,Romania,46,25,0,0,0
2020/02/22,RO,Romania,46,25,0,0,0
2020/02/23,RO,Romania,46,25,0,0,0
2020/02/24,RO,Romania,46,25,0,0,0
2020/02/25,RO,Romania,46,25,0,0,0
2020/02/26,RO,Romania,46,25,1,0,0
2020/02/27,RO,Romania,46,25,1,0,0
2020/02/28,RO,Romania,46,25,3,0,0
2020/02/29,RO,Romania,46,25,3,0,0
2020/03/01,RO,Romania,46,25,3,0,0
2020/03/02,RO,Romania,46,25,3,0,0
2020/03/03,RO,Romania,46,25,3,0,0
2020/03/04,RO,Romania,46,25,4,0,1
2020/03/05,RO,Romania,46,25,6,0,1
2020/03/06,RO,Romania,46,25,9,0,1
2020/03/07,RO,Romania,46,25,9,0,3
2020/03/08,RO,Romania,46,25,15,0,3
2020/03/09,RO,Romania,46,25,15,0,3
2020/03/10,RO,Romania,46,25,25,0,3
2020/03/11,RO,Romania,46,25,45,0,6
2020/03/12,RO,Romania,46,25,49,0,6
2020/03/13,RO,Romania,46,25,89,0,7
2020/03/14,RO,Romania,46,25,123,0,9
2020/03/15,RO,Romania,46,25,131,0,9
2020/03/16,RO,Romania,46,25,158,0,9
2020/03/17,RO,Romania,46,25,184,0,16
2020/03/18,RO,Romania,46,25,260,0,19
2020/03/19,RO,Romania,46,25,277,0,25
2020/03/20,RO,Romania,46,25,308,0,25
2020/03/21,RO,Romania,46,25,367,0,52
2020/03/22,RO,Romania,46,25,433,3,64
2020/03/23,RO,Romania,46,25,576,7,73
