day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,SE,Sweden,62,15,0,0,0
2020/01/23,SE,Sweden,62,15,0,0,0
2020/01/24,SE,Sweden,62,15,0,0,0
2020/01/25,SE,Sweden,62,15,0,0,0
2020/01/26,SE,Sweden,62,15,0,0,0
2020/01/27,SE,Sweden,62,15,0,0,0
2020/01/28,SE,Sweden,62,15,0,0,0
2020/01/29,SE,Sweden,62,15,0,0,0
2020/01/30,SE,Sweden,62,15,0,0,0
2020/01/31,SE,Sweden,62,15,1,0,0
2020/02/01,SE,Sweden,62,15,1,0,0
2020/02/02,SE,Sweden,62,15,1,0,0
2020/02/03,SE,Sweden,62,15,1,0,0
2020/02/04,SE,Sweden,62,15,1,0,0
2020/02/05,SE,Sweden,62,15,1,0,0
2020/02/06,SE,Sweden,62,15,1,0,0
2020/02/07,SE,Sweden,62,15,1,0,0
2020/02/08,SE,Sweden,62,15,1,0,0
2020/02/09,SE,Sweden,62,15,1,0,0
2020/02/10,SE,Sweden,62,15,1,0,0
2020/02/11,SE,Sweden,62,15,1,0,0
2020/02/12,SE,Sweden,62,15,1,0,0
2020/02/13,SE,Sweden,62,15,1,0,0
2020/02/14,SE,Sweden,62,15,1,0,0
2020/02/15,SE,Sweden,62,15,1,0,0
2020/02/16,SE,Sweden,62,15,1,0,0
2020/02/17,SE,Sweden,62,15,1,0,0
2020/02/18,SE,Sweden,62,15,1,0,0
2020/02/19,SE,Sweden,62,15,1,0,0
2020/02/20,SE,Sweden,62,15,1,0,0
2020/02/21,SE,Sweden,62,15,1,0,0
2020/02/22,SE,Sweden,62,15,1,0,0
2020/02/23,SE,Sweden,62,15,1,0,0
2020/02/24,SE,Sweden,62,15,1,0,0
2020/02/25,SE,Sweden,62,15,1,0,0
2020/02/26,SE,Sweden,62,15,2,0,0
2020/02/27,SE,Sweden,62,15,7,0,0
2020/02/28,SE,Sweden,62,15,7,0,0
2020/02/29,SE,Sweden,62,15,12,0,0
2020/03/01,SE,Sweden,62,15,14,0,0
2020/03/02,SE,Sweden,62,15,15,0,0
2020/03/03,SE,Sweden,62,15,21,0,0
2020/03/04,SE,Sweden,62,15,35,0,0
2020/03/05,SE,Sweden,62,15,94,0,0
2020/03/06,SE,Sweden,62,15,101,0,0
2020/03/07,SE,Sweden,62,15,161,0,0
2020/03/08,SE,Sweden,62,15,203,0,0
2020/03/09,SE,Sweden,62,15,248,0,1
2020/03/10,SE,Sweden,62,15,355,0,1
2020/03/11,SE,Sweden,62,15,500,1,1
2020/03/12,SE,Sweden,62,15,599,1,1
2020/03/13,SE,Sweden,62,15,814,1,1
2020/03/14,SE,Sweden,62,15,961,2,1
2020/03/15,SE,Sweden,62,15,1022,3,1
2020/03/16,SE,Sweden,62,15,1103,6,1
2020/03/17,SE,Sweden,62,15,1190,7,1
2020/03/18,SE,Sweden,62,15,1279,10,1
2020/03/19,SE,Sweden,62,15,1439,11,16
2020/03/20,SE,Sweden,62,15,1639,16,16
2020/03/21,SE,Sweden,62,15,1763,20,16
2020/03/22,SE,Sweden,62,15,1931,21,16
2020/03/23,SE,Sweden,62,15,2046,25,16
