day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,SG,Singapore,1.36666666,103.8,0,0,0
2020/01/23,SG,Singapore,1.36666666,103.8,1,0,0
2020/01/24,SG,Singapore,1.36666666,103.8,3,0,0
2020/01/25,SG,Singapore,1.36666666,103.8,3,0,0
2020/01/26,SG,Singapore,1.36666666,103.8,4,0,0
2020/01/27,SG,Singapore,1.36666666,103.8,5,0,0
2020/01/28,SG,Singapore,1.36666666,103.8,7,0,0
2020/01/29,SG,Singapore,1.36666666,103.8,7,0,0
2020/01/30,SG,Singapore,1.36666666,103.8,10,0,0
2020/01/31,SG,Singapore,1.36666666,103.8,13,0,0
2020/02/01,SG,Singapore,1.36666666,103.8,16,0,0
2020/02/02,SG,Singapore,1.36666666,103.8,18,0,0
2020/02/03,SG,Singapore,1.36666666,103.8,18,0,0
2020/02/04,SG,Singapore,1.36666666,103.8,24,0,0
2020/02/05,SG,Singapore,1.36666666,103.8,28,0,0
2020/02/06,SG,Singapore,1.36666666,103.8,28,0,0
2020/02/07,SG,Singapore,1.36666666,103.8,30,0,0
2020/02/08,SG,Singapore,1.36666666,103.8,33,0,2
2020/02/09,SG,Singapore,1.36666666,103.8,40,0,2
2020/02/10,SG,Singapore,1.36666666,103.8,45,0,2
2020/02/11,SG,Singapore,1.36666666,103.8,47,0,9
2020/02/12,SG,Singapore,1.36666666,103.8,50,0,15
2020/02/13,SG,Singapore,1.36666666,103.8,58,0,15
2020/02/14,SG,Singapore,1.36666666,103.8,67,0,17
2020/02/15,SG,Singapore,1.36666666,103.8,72,0,18
2020/02/16,SG,Singapore,1.36666666,103.8,75,0,18
2020/02/17,SG,Singapore,1.36666666,103.8,77,0,24
2020/02/18,SG,Singapore,1.36666666,103.8,81,0,29
2020/02/19,SG,Singapore,1.36666666,103.8,84,0,34
2020/02/20,SG,Singapore,1.36666666,103.8,84,0,34
2020/02/21,SG,Singapore,1.36666666,103.8,85,0,37
2020/02/22,SG,Singapore,1.36666666,103.8,85,0,37
2020/02/23,SG,Singapore,1.36666666,103.8,89,0,51
2020/02/24,SG,Singapore,1.36666666,103.8,89,0,51
2020/02/25,SG,Singapore,1.36666666,103.8,91,0,53
2020/02/26,SG,Singapore,1.36666666,103.8,93,0,62
2020/02/27,SG,Singapore,1.36666666,103.8,93,0,62
2020/02/28,SG,Singapore,1.36666666,103.8,93,0,62
2020/02/29,SG,Singapore,1.36666666,103.8,102,0,72
2020/03/01,SG,Singapore,1.36666666,103.8,106,0,72
2020/03/02,SG,Singapore,1.36666666,103.8,108,0,78
2020/03/03,SG,Singapore,1.36666666,103.8,110,0,78
2020/03/04,SG,Singapore,1.36666666,103.8,110,0,78
2020/03/05,SG,Singapore,1.36666666,103.8,117,0,78
2020/03/06,SG,Singapore,1.36666666,103.8,130,0,78
2020/03/07,SG,Singapore,1.36666666,103.8,138,0,78
2020/03/08,SG,Singapore,1.36666666,103.8,150,0,78
2020/03/09,SG,Singapore,1.36666666,103.8,150,0,78
2020/03/10,SG,Singapore,1.36666666,103.8,160,0,78
2020/03/11,SG,Singapore,1.36666666,103.8,178,0,96
2020/03/12,SG,Singapore,1.36666666,103.8,178,0,96
2020/03/13,SG,Singapore,1.36666666,103.8,200,0,97
2020/03/14,SG,Singapore,1.36666666,103.8,212,0,105
2020/03/15,SG,Singapore,1.36666666,103.8,226,0,105
2020/03/16,SG,Singapore,1.36666666,103.8,243,0,109
2020/03/17,SG,Singapore,1.36666666,103.8,266,0,114
2020/03/18,SG,Singapore,1.36666666,103.8,313,0,114
2020/03/19,SG,Singapore,1.36666666,103.8,345,0,114
2020/03/20,SG,Singapore,1.36666666,103.8,385,0,124
2020/03/21,SG,Singapore,1.36666666,103.8,432,2,140
2020/03/22,SG,Singapore,1.36666666,103.8,455,2,144
2020/03/23,SG,Singapore,1.36666666,103.8,509,2,152
