day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,SR,Suriname,4,-56,0,0,0
2020/01/23,SR,Suriname,4,-56,0,0,0
2020/01/24,SR,Suriname,4,-56,0,0,0
2020/01/25,SR,Suriname,4,-56,0,0,0
2020/01/26,SR,Suriname,4,-56,0,0,0
2020/01/27,SR,Suriname,4,-56,0,0,0
2020/01/28,SR,Suriname,4,-56,0,0,0
2020/01/29,SR,Suriname,4,-56,0,0,0
2020/01/30,SR,Suriname,4,-56,0,0,0
2020/01/31,SR,Suriname,4,-56,0,0,0
2020/02/01,SR,Suriname,4,-56,0,0,0
2020/02/02,SR,Suriname,4,-56,0,0,0
2020/02/03,SR,Suriname,4,-56,0,0,0
2020/02/04,SR,Suriname,4,-56,0,0,0
2020/02/05,SR,Suriname,4,-56,0,0,0
2020/02/06,SR,Suriname,4,-56,0,0,0
2020/02/07,SR,Suriname,4,-56,0,0,0
2020/02/08,SR,Suriname,4,-56,0,0,0
2020/02/09,SR,Suriname,4,-56,0,0,0
2020/02/10,SR,Suriname,4,-56,0,0,0
2020/02/11,SR,Suriname,4,-56,0,0,0
2020/02/12,SR,Suriname,4,-56,0,0,0
2020/02/13,SR,Suriname,4,-56,0,0,0
2020/02/14,SR,Suriname,4,-56,0,0,0
2020/02/15,SR,Suriname,4,-56,0,0,0
2020/02/16,SR,Suriname,4,-56,0,0,0
2020/02/17,SR,Suriname,4,-56,0,0,0
2020/02/18,SR,Suriname,4,-56,0,0,0
2020/02/19,SR,Suriname,4,-56,0,0,0
2020/02/20,SR,Suriname,4,-56,0,0,0
2020/02/21,SR,Suriname,4,-56,0,0,0
2020/02/22,SR,Suriname,4,-56,0,0,0
2020/02/23,SR,Suriname,4,-56,0,0,0
2020/02/24,SR,Suriname,4,-56,0,0,0
2020/02/25,SR,Suriname,4,-56,0,0,0
2020/02/26,SR,Suriname,4,-56,0,0,0
2020/02/27,SR,Suriname,4,-56,0,0,0
2020/02/28,SR,Suriname,4,-56,0,0,0
2020/02/29,SR,Suriname,4,-56,0,0,0
2020/03/01,SR,Suriname,4,-56,0,0,0
2020/03/02,SR,Suriname,4,-56,0,0,0
2020/03/03,SR,Suriname,4,-56,0,0,0
2020/03/04,SR,Suriname,4,-56,0,0,0
2020/03/05,SR,Suriname,4,-56,0,0,0
2020/03/06,SR,Suriname,4,-56,0,0,0
2020/03/07,SR,Suriname,4,-56,0,0,0
2020/03/08,SR,Suriname,4,-56,0,0,0
2020/03/09,SR,Suriname,4,-56,0,0,0
2020/03/10,SR,Suriname,4,-56,0,0,0
2020/03/11,SR,Suriname,4,-56,0,0,0
2020/03/12,SR,Suriname,4,-56,0,0,0
2020/03/13,SR,Suriname,4,-56,0,0,0
2020/03/14,SR,Suriname,4,-56,1,0,0
2020/03/15,SR,Suriname,4,-56,1,0,0
2020/03/16,SR,Suriname,4,-56,1,0,0
2020/03/17,SR,Suriname,4,-56,1,0,0
2020/03/18,SR,Suriname,4,-56,1,0,0
2020/03/19,SR,Suriname,4,-56,1,0,0
2020/03/20,SR,Suriname,4,-56,4,0,0
2020/03/21,SR,Suriname,4,-56,4,0,0
2020/03/22,SR,Suriname,4,-56,5,0,0
2020/03/23,SR,Suriname,4,-56,5,0,0
