day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,SY,Syria,35,38,0,0,0
2020/01/23,SY,Syria,35,38,0,0,0
2020/01/24,SY,Syria,35,38,0,0,0
2020/01/25,SY,Syria,35,38,0,0,0
2020/01/26,SY,Syria,35,38,0,0,0
2020/01/27,SY,Syria,35,38,0,0,0
2020/01/28,SY,Syria,35,38,0,0,0
2020/01/29,SY,Syria,35,38,0,0,0
2020/01/30,SY,Syria,35,38,0,0,0
2020/01/31,SY,Syria,35,38,0,0,0
2020/02/01,SY,Syria,35,38,0,0,0
2020/02/02,SY,Syria,35,38,0,0,0
2020/02/03,SY,Syria,35,38,0,0,0
2020/02/04,SY,Syria,35,38,0,0,0
2020/02/05,SY,Syria,35,38,0,0,0
2020/02/06,SY,Syria,35,38,0,0,0
2020/02/07,SY,Syria,35,38,0,0,0
2020/02/08,SY,Syria,35,38,0,0,0
2020/02/09,SY,Syria,35,38,0,0,0
2020/02/10,SY,Syria,35,38,0,0,0
2020/02/11,SY,Syria,35,38,0,0,0
2020/02/12,SY,Syria,35,38,0,0,0
2020/02/13,SY,Syria,35,38,0,0,0
2020/02/14,SY,Syria,35,38,0,0,0
2020/02/15,SY,Syria,35,38,0,0,0
2020/02/16,SY,Syria,35,38,0,0,0
2020/02/17,SY,Syria,35,38,0,0,0
2020/02/18,SY,Syria,35,38,0,0,0
2020/02/19,SY,Syria,35,38,0,0,0
2020/02/20,SY,Syria,35,38,0,0,0
2020/02/21,SY,Syria,35,38,0,0,0
2020/02/22,SY,Syria,35,38,0,0,0
2020/02/23,SY,Syria,35,38,0,0,0
2020/02/24,SY,Syria,35,38,0,0,0
2020/02/25,SY,Syria,35,38,0,0,0
2020/02/26,SY,Syria,35,38,0,0,0
2020/02/27,SY,Syria,35,38,0,0,0
2020/02/28,SY,Syria,35,38,0,0,0
2020/02/29,SY,Syria,35,38,0,0,0
2020/03/01,SY,Syria,35,38,0,0,0
2020/03/02,SY,Syria,35,38,0,0,0
2020/03/03,SY,Syria,35,38,0,0,0
2020/03/04,SY,Syria,35,38,0,0,0
2020/03/05,SY,Syria,35,38,0,0,0
2020/03/06,SY,Syria,35,38,0,0,0
2020/03/07,SY,Syria,35,38,0,0,0
2020/03/08,SY,Syria,35,38,0,0,0
2020/03/09,SY,Syria,35,38,0,0,0
2020/03/10,SY,Syria,35,38,0,0,0
2020/03/11,SY,Syria,35,38,0,0,0
2020/03/12,SY,Syria,35,38,0,0,0
2020/03/13,SY,Syria,35,38,0,0,0
2020/03/14,SY,Syria,35,38,0,0,0
2020/03/15,SY,Syria,35,38,0,0,0
2020/03/16,SY,Syria,35,38,0,0,0
2020/03/17,SY,Syria,35,38,0,0,0
2020/03/18,SY,Syria,35,38,0,0,0
2020/03/19,SY,Syria,35,38,0,0,0
2020/03/20,SY,Syria,35,38,0,0,0
2020/03/21,SY,Syria,35,38,0,0,0
2020/03/22,SY,Syria,35,38,1,0,0
2020/03/23,SY,Syria,35,38,1,0,0
