day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,TH,Thailand,Asia,15,100,2,0,0
2020/01/23,TH,Thailand,Asia,15,100,3,0,0
2020/01/24,TH,Thailand,Asia,15,100,5,0,0
2020/01/25,TH,Thailand,Asia,15,100,7,0,0
2020/01/26,TH,Thailand,Asia,15,100,8,0,2
2020/01/27,TH,Thailand,Asia,15,100,8,0,2
2020/01/28,TH,Thailand,Asia,15,100,14,0,5
2020/01/29,TH,Thailand,Asia,15,100,14,0,5
2020/01/30,TH,Thailand,Asia,15,100,14,0,5
2020/01/31,TH,Thailand,Asia,15,100,19,0,5
2020/02/01,TH,Thailand,Asia,15,100,19,0,5
2020/02/02,TH,Thailand,Asia,15,100,19,0,5
2020/02/03,TH,Thailand,Asia,15,100,19,0,5
2020/02/04,TH,Thailand,Asia,15,100,25,0,5
2020/02/05,TH,Thailand,Asia,15,100,25,0,5
2020/02/06,TH,Thailand,Asia,15,100,25,0,5
2020/02/07,TH,Thailand,Asia,15,100,25,0,5
2020/02/08,TH,Thailand,Asia,15,100,32,0,10
2020/02/09,TH,Thailand,Asia,15,100,32,0,10
2020/02/10,TH,Thailand,Asia,15,100,32,0,10
2020/02/11,TH,Thailand,Asia,15,100,33,0,10
2020/02/12,TH,Thailand,Asia,15,100,33,0,10
2020/02/13,TH,Thailand,Asia,15,100,33,0,12
2020/02/14,TH,Thailand,Asia,15,100,33,0,12
2020/02/15,TH,Thailand,Asia,15,100,33,0,12
2020/02/16,TH,Thailand,Asia,15,100,34,0,14
2020/02/17,TH,Thailand,Asia,15,100,35,0,15
2020/02/18,TH,Thailand,Asia,15,100,35,0,15
2020/02/19,TH,Thailand,Asia,15,100,35,0,15
2020/02/20,TH,Thailand,Asia,15,100,35,0,15
2020/02/21,TH,Thailand,Asia,15,100,35,0,17
2020/02/22,TH,Thailand,Asia,15,100,35,0,17
2020/02/23,TH,Thailand,Asia,15,100,35,0,21
2020/02/24,TH,Thailand,Asia,15,100,35,0,21
2020/02/25,TH,Thailand,Asia,15,100,37,0,22
2020/02/26,TH,Thailand,Asia,15,100,40,0,22
2020/02/27,TH,Thailand,Asia,15,100,40,0,22
2020/02/28,TH,Thailand,Asia,15,100,41,0,28
2020/02/29,TH,Thailand,Asia,15,100,42,0,28
2020/03/01,TH,Thailand,Asia,15,100,42,1,28
2020/03/02,TH,Thailand,Asia,15,100,43,1,31
2020/03/03,TH,Thailand,Asia,15,100,43,1,31
2020/03/04,TH,Thailand,Asia,15,100,43,1,31
2020/03/05,TH,Thailand,Asia,15,100,47,1,31
2020/03/06,TH,Thailand,Asia,15,100,48,1,31
2020/03/07,TH,Thailand,Asia,15,100,50,1,31
2020/03/08,TH,Thailand,Asia,15,100,50,1,31
2020/03/09,TH,Thailand,Asia,15,100,50,1,31
2020/03/10,TH,Thailand,Asia,15,100,53,1,33
2020/03/11,TH,Thailand,Asia,15,100,59,1,34
2020/03/12,TH,Thailand,Asia,15,100,70,1,34
2020/03/13,TH,Thailand,Asia,15,100,75,1,35
2020/03/14,TH,Thailand,Asia,15,100,82,1,35
2020/03/15,TH,Thailand,Asia,15,100,114,1,35
2020/03/16,TH,Thailand,Asia,15,100,147,1,35
2020/03/17,TH,Thailand,Asia,15,100,177,1,41
2020/03/18,TH,Thailand,Asia,15,100,212,1,42
2020/03/19,TH,Thailand,Asia,15,100,272,1,42
2020/03/20,TH,Thailand,Asia,15,100,322,1,42
2020/03/21,TH,Thailand,Asia,15,100,411,1,42
2020/03/22,TH,Thailand,Asia,15,100,599,1,44
2020/03/23,TH,Thailand,Asia,15,100,721,1,52
