day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,TW,Taiwan,Asia,23.5,121,1,0,0
2020/01/23,TW,Taiwan,Asia,23.5,121,1,0,0
2020/01/24,TW,Taiwan,Asia,23.5,121,3,0,0
2020/01/25,TW,Taiwan,Asia,23.5,121,3,0,0
2020/01/26,TW,Taiwan,Asia,23.5,121,4,0,0
2020/01/27,TW,Taiwan,Asia,23.5,121,5,0,0
2020/01/28,TW,Taiwan,Asia,23.5,121,8,0,0
2020/01/29,TW,Taiwan,Asia,23.5,121,8,0,0
2020/01/30,TW,Taiwan,Asia,23.5,121,9,0,0
2020/01/31,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/01,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/02,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/03,TW,Taiwan,Asia,23.5,121,10,0,0
2020/02/04,TW,Taiwan,Asia,23.5,121,11,0,0
2020/02/05,TW,Taiwan,Asia,23.5,121,11,0,0
2020/02/06,TW,Taiwan,Asia,23.5,121,16,0,1
2020/02/07,TW,Taiwan,Asia,23.5,121,16,0,1
2020/02/08,TW,Taiwan,Asia,23.5,121,17,0,1
2020/02/09,TW,Taiwan,Asia,23.5,121,18,0,1
2020/02/10,TW,Taiwan,Asia,23.5,121,18,0,1
2020/02/11,TW,Taiwan,Asia,23.5,121,18,0,1
2020/02/12,TW,Taiwan,Asia,23.5,121,18,0,1
2020/02/13,TW,Taiwan,Asia,23.5,121,18,0,1
2020/02/14,TW,Taiwan,Asia,23.5,121,18,0,2
2020/02/15,TW,Taiwan,Asia,23.5,121,18,0,2
2020/02/16,TW,Taiwan,Asia,23.5,121,20,1,2
2020/02/17,TW,Taiwan,Asia,23.5,121,22,1,2
2020/02/18,TW,Taiwan,Asia,23.5,121,22,1,2
2020/02/19,TW,Taiwan,Asia,23.5,121,23,1,2
2020/02/20,TW,Taiwan,Asia,23.5,121,24,1,2
2020/02/21,TW,Taiwan,Asia,23.5,121,26,1,2
2020/02/22,TW,Taiwan,Asia,23.5,121,26,1,2
2020/02/23,TW,Taiwan,Asia,23.5,121,28,1,2
2020/02/24,TW,Taiwan,Asia,23.5,121,30,1,5
2020/02/25,TW,Taiwan,Asia,23.5,121,31,1,5
2020/02/26,TW,Taiwan,Asia,23.5,121,32,1,5
2020/02/27,TW,Taiwan,Asia,23.5,121,32,1,5
2020/02/28,TW,Taiwan,Asia,23.5,121,34,1,6
2020/02/29,TW,Taiwan,Asia,23.5,121,39,1,9
2020/03/01,TW,Taiwan,Asia,23.5,121,40,1,9
2020/03/02,TW,Taiwan,Asia,23.5,121,41,1,12
2020/03/03,TW,Taiwan,Asia,23.5,121,42,1,12
2020/03/04,TW,Taiwan,Asia,23.5,121,42,1,12
2020/03/05,TW,Taiwan,Asia,23.5,121,44,1,12
2020/03/06,TW,Taiwan,Asia,23.5,121,45,1,12
2020/03/07,TW,Taiwan,Asia,23.5,121,45,1,12
2020/03/08,TW,Taiwan,Asia,23.5,121,45,1,13
2020/03/09,TW,Taiwan,Asia,23.5,121,45,1,15
2020/03/10,TW,Taiwan,Asia,23.5,121,47,1,17
2020/03/11,TW,Taiwan,Asia,23.5,121,48,1,17
2020/03/12,TW,Taiwan,Asia,23.5,121,49,1,20
2020/03/13,TW,Taiwan,Asia,23.5,121,50,1,20
2020/03/14,TW,Taiwan,Asia,23.5,121,53,1,20
2020/03/15,TW,Taiwan,Asia,23.5,121,59,1,20
2020/03/16,TW,Taiwan,Asia,23.5,121,67,1,20
2020/03/17,TW,Taiwan,Asia,23.5,121,77,1,22
2020/03/18,TW,Taiwan,Asia,23.5,121,100,1,22
2020/03/19,TW,Taiwan,Asia,23.5,121,108,1,26
2020/03/20,TW,Taiwan,Asia,23.5,121,135,2,26
2020/03/21,TW,Taiwan,Asia,23.5,121,153,2,28
2020/03/22,TW,Taiwan,Asia,23.5,121,169,2,28
2020/03/23,TW,Taiwan,Asia,23.5,121,195,2,28
