day,countryCode,countryName,lat,lon,confirmed,cured,death
2020/01/22,US,United States,38,-97,1,0,0
2020/01/23,US,United States,38,-97,1,0,0
2020/01/24,US,United States,38,-97,2,0,0
2020/01/25,US,United States,38,-97,2,0,0
2020/01/26,US,United States,38,-97,5,0,0
2020/01/27,US,United States,38,-97,5,0,0
2020/01/28,US,United States,38,-97,5,0,0
2020/01/29,US,United States,38,-97,5,0,0
2020/01/30,US,United States,38,-97,5,0,0
2020/01/31,US,United States,38,-97,7,0,0
2020/02/01,US,United States,38,-97,8,0,0
2020/02/02,US,United States,38,-97,8,0,0
2020/02/03,US,United States,38,-97,11,0,0
2020/02/04,US,United States,38,-97,11,0,0
2020/02/05,US,United States,38,-97,11,0,0
2020/02/06,US,United States,38,-97,11,0,0
2020/02/07,US,United States,38,-97,11,0,0
2020/02/08,US,United States,38,-97,11,0,0
2020/02/09,US,United States,38,-97,11,0,3
2020/02/10,US,United States,38,-97,11,0,3
2020/02/11,US,United States,38,-97,12,0,3
2020/02/12,US,United States,38,-97,12,0,3
2020/02/13,US,United States,38,-97,13,0,3
2020/02/14,US,United States,38,-97,13,0,3
2020/02/15,US,United States,38,-97,13,0,3
2020/02/16,US,United States,38,-97,13,0,3
2020/02/17,US,United States,38,-97,13,0,3
2020/02/18,US,United States,38,-97,13,0,3
2020/02/19,US,United States,38,-97,13,0,3
2020/02/20,US,United States,38,-97,13,0,3
2020/02/21,US,United States,38,-97,15,0,5
2020/02/22,US,United States,38,-97,15,0,5
2020/02/23,US,United States,38,-97,15,0,5
2020/02/24,US,United States,38,-97,51,0,5
2020/02/25,US,United States,38,-97,51,0,6
2020/02/26,US,United States,38,-97,57,0,6
2020/02/27,US,United States,38,-97,58,0,6
2020/02/28,US,United States,38,-97,60,0,7
2020/02/29,US,United States,38,-97,68,1,7
2020/03/01,US,United States,38,-97,74,1,7
2020/03/02,US,United States,38,-97,98,6,7
2020/03/03,US,United States,38,-97,118,7,7
2020/03/04,US,United States,38,-97,149,11,7
2020/03/05,US,United States,38,-97,217,12,7
2020/03/06,US,United States,38,-97,262,14,7
2020/03/07,US,United States,38,-97,402,17,7
2020/03/08,US,United States,38,-97,518,21,7
2020/03/09,US,United States,38,-97,583,22,7
2020/03/10,US,United States,38,-97,959,28,8
2020/03/11,US,United States,38,-97,1281,36,8
2020/03/12,US,United States,38,-97,1663,40,12
2020/03/13,US,United States,38,-97,2179,47,12
2020/03/14,US,United States,38,-97,2723,54,12
2020/03/15,US,United States,38,-97,3490,63,12
2020/03/16,US,United States,38,-97,4623,85,17
2020/03/17,US,United States,38,-97,6411,108,17
2020/03/18,US,United States,38,-97,7771,118,17
2020/03/19,US,United States,38,-97,13657,200,17
2020/03/20,US,United States,38,-97,19069,244,17
2020/03/21,US,United States,38,-97,25450,306,17
2020/03/22,US,United States,38,-97,33219,415,178
2020/03/23,US,United States,38,-97,43469,545,295
