day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/23,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/24,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/25,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/26,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/27,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/28,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/29,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/30,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/01/31,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/01,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/02,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/03,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/04,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/05,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/06,X1,Diamond Princess,Asia,35.45582,139.68188,0,0,0
2020/02/07,X1,Diamond Princess,Asia,35.45582,139.68188,61,0,0
2020/02/08,X1,Diamond Princess,Asia,35.45582,139.68188,61,0,0
2020/02/09,X1,Diamond Princess,Asia,35.45582,139.68188,64,0,0
2020/02/10,X1,Diamond Princess,Asia,35.45582,139.68188,135,0,0
2020/02/11,X1,Diamond Princess,Asia,35.45582,139.68188,135,0,0
2020/02/12,X1,Diamond Princess,Asia,35.45582,139.68188,175,0,0
2020/02/13,X1,Diamond Princess,Asia,35.45582,139.68188,175,0,0
2020/02/14,X1,Diamond Princess,Asia,35.45582,139.68188,218,0,0
2020/02/15,X1,Diamond Princess,Asia,35.45582,139.68188,285,0,0
2020/02/16,X1,Diamond Princess,Asia,35.45582,139.68188,355,0,0
2020/02/17,X1,Diamond Princess,Asia,35.45582,139.68188,454,0,0
2020/02/18,X1,Diamond Princess,Asia,35.45582,139.68188,542,0,0
2020/02/19,X1,Diamond Princess,Asia,35.45582,139.68188,621,0,1
2020/02/20,X1,Diamond Princess,Asia,35.45582,139.68188,634,2,1
2020/02/21,X1,Diamond Princess,Asia,35.45582,139.68188,634,2,1
2020/02/22,X1,Diamond Princess,Asia,35.45582,139.68188,634,2,1
2020/02/23,X1,Diamond Princess,Asia,35.45582,139.68188,691,3,1
2020/02/24,X1,Diamond Princess,Asia,35.45582,139.68188,691,3,1
2020/02/25,X1,Diamond Princess,Asia,35.45582,139.68188,691,3,1
2020/02/26,X1,Diamond Princess,Asia,35.45582,139.68188,696,4,10
2020/02/27,X1,Diamond Princess,Asia,35.45582,139.68188,696,4,10
2020/02/28,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/02/29,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/03/01,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/03/02,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/03/03,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/03/04,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/03/05,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,10
2020/03/06,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,40
2020/03/07,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,40
2020/03/08,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,40
2020/03/09,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,40
2020/03/10,X1,Diamond Princess,Asia,35.45582,139.68188,696,6,40
2020/03/11,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/12,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/13,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/14,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/15,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/16,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/17,X1,Diamond Princess,Asia,35.45582,139.68188,696,7,325
2020/03/18,X1,Diamond Princess,Asia,35.45582,139.68188,712,7,325
2020/03/19,X1,Diamond Princess,Asia,35.45582,139.68188,712,7,325
2020/03/20,X1,Diamond Princess,Asia,35.45582,139.68188,712,7,325
2020/03/21,X1,Diamond Princess,Asia,35.45582,139.68188,712,8,325
2020/03/22,X1,Diamond Princess,Asia,35.45582,139.68188,712,8,325
2020/03/23,X1,Diamond Princess,Asia,35.45582,139.68188,712,8,567
